# Rob FM assembly — 262 body-driven output ports (the 2343-2081=262 not directly leaf-passthrough)
# tier: A_CORE (xs_Rob_core produces) | B_SHALLOW_REGNEXT (RegNext of both-side leaf output) | C_DEEP (golden deep datapath/counter — the real blocker)
# generated by agent/rob from golden/chisel-rtl/Rob.sv output-formation body; golden_driver = RHS of 'assign <port> = ...'
# summary: A_CORE=70  B_SHALLOW_REGNEXT=92  C_DEEP=100  (leaf-passthrough=2081 not listed)
port	tier	golden_driver
io_commits_info_6_ftqIdx_flag	A_CORE	_GEN_12[_deqPtrGenModule_io_out_6_value[2:0]];
io_commits_info_6_ftqIdx_value	A_CORE	rawInfo_6_ftqIdx_value;
io_commits_info_6_ftqOffset	A_CORE	(no direct assign — see always/wire)
io_commits_info_7_commitType	A_CORE	rawInfo_7_commitType;
io_commits_info_7_ftqIdx_flag	A_CORE	_GEN_12[_deqPtrGenModule_io_out_7_value[2:0]];
io_commits_info_7_ftqIdx_value	A_CORE	rawInfo_7_ftqIdx_value;
io_commits_info_7_ftqOffset	A_CORE	(no direct assign — see always/wire)
io_commits_isCommit	A_CORE	io_commits_isCommit_0;
io_commits_robIdx_0_flag	A_CORE	_deqPtrGenModule_io_out_0_flag;
io_commits_robIdx_0_value	A_CORE	_deqPtrGenModule_io_out_0_value;
io_commits_robIdx_1_value	A_CORE	_deqPtrGenModule_io_out_1_value;
io_commits_robIdx_2_value	A_CORE	_deqPtrGenModule_io_out_2_value;
io_commits_robIdx_3_value	A_CORE	_deqPtrGenModule_io_out_3_value;
io_commits_robIdx_4_value	A_CORE	_deqPtrGenModule_io_out_4_value;
io_commits_robIdx_5_value	A_CORE	_deqPtrGenModule_io_out_5_value;
io_commits_robIdx_6_value	A_CORE	_deqPtrGenModule_io_out_6_value;
io_commits_robIdx_7_value	A_CORE	_deqPtrGenModule_io_out_7_value;
io_cpu_halt	A_CORE	hasWFI & io_wfi_safeFromMem & io_wfi_safeFromFrontend;
io_csr_dirty_fs	C_DEEP	io_csr_dirty_fs_last_REG;
io_csr_dirty_vs	C_DEEP	io_csr_dirty_vs_last_REG;
io_csr_fflags_bits	C_DEEP	io_csr_fflags_next_bits_r;
io_csr_fflags_valid	C_DEEP	io_csr_fflags_next_valid_last_REG;
io_csr_perfinfo_retiredInstr	C_DEEP	retireCounter_probe[6:0];
io_csr_vstart_bits	C_DEEP	io_csr_vstart_bits_REG;
io_csr_vstart_valid	C_DEEP	io_csr_vstart_valid_REG;
io_csr_vxsat_bits	C_DEEP	io_csr_vxsat_next_bits_r;
io_csr_vxsat_valid	C_DEEP	io_csr_vxsat_next_valid_last_REG;
io_debugRobHead_fuType	C_DEEP	io_debugRobHead_fuType_0;
io_debugTopDown_toCore_robHeadPaddr_bits	C_DEEP	(no direct assign — see always/wire)
io_debugTopDown_toCore_robHeadPaddr_valid	C_DEEP	(no direct assign — see always/wire)
io_debugTopDown_toCore_robHeadVaddr_bits	C_DEEP	(no direct assign — see always/wire)
io_debugTopDown_toCore_robHeadVaddr_valid	C_DEEP	(no direct assign — see always/wire)
io_debugTopDown_toDispatch_robHeadLsIssue	C_DEEP	(no direct assign — see always/wire)
io_enq_canAccept	A_CORE	io_enq_canAccept_0;
io_enq_canAcceptForDispatch	A_CORE	(no direct assign — see always/wire)
io_enq_isEmpty	A_CORE	io_enq_isEmpty_REG;
io_error_0	C_DEEP	io_error_0_REG_1;
io_exception_bits_commitType	B_SHALLOW_REGNEXT	io_exception_bits_commitType_r;
io_exception_bits_crossPageIPFFix	B_SHALLOW_REGNEXT	io_exception_bits_crossPageIPFFix_r;
io_exception_bits_exceptionVec_0	B_SHALLOW_REGNEXT	r_3_0;
io_exception_bits_exceptionVec_1	B_SHALLOW_REGNEXT	r_3_1;
io_exception_bits_exceptionVec_10	B_SHALLOW_REGNEXT	r_3_10;
io_exception_bits_exceptionVec_11	B_SHALLOW_REGNEXT	r_3_11;
io_exception_bits_exceptionVec_12	B_SHALLOW_REGNEXT	r_3_12;
io_exception_bits_exceptionVec_13	B_SHALLOW_REGNEXT	r_3_13;
io_exception_bits_exceptionVec_14	B_SHALLOW_REGNEXT	r_3_14;
io_exception_bits_exceptionVec_15	B_SHALLOW_REGNEXT	r_3_15;
io_exception_bits_exceptionVec_16	B_SHALLOW_REGNEXT	r_3_16;
io_exception_bits_exceptionVec_17	B_SHALLOW_REGNEXT	r_3_17;
io_exception_bits_exceptionVec_18	B_SHALLOW_REGNEXT	r_3_18;
io_exception_bits_exceptionVec_19	B_SHALLOW_REGNEXT	r_3_19;
io_exception_bits_exceptionVec_2	B_SHALLOW_REGNEXT	r_3_2;
io_exception_bits_exceptionVec_20	B_SHALLOW_REGNEXT	r_3_20;
io_exception_bits_exceptionVec_21	B_SHALLOW_REGNEXT	r_3_21;
io_exception_bits_exceptionVec_22	B_SHALLOW_REGNEXT	r_3_22;
io_exception_bits_exceptionVec_23	B_SHALLOW_REGNEXT	r_3_23;
io_exception_bits_exceptionVec_3	B_SHALLOW_REGNEXT	r_3_3;
io_exception_bits_exceptionVec_4	B_SHALLOW_REGNEXT	r_3_4;
io_exception_bits_exceptionVec_5	B_SHALLOW_REGNEXT	r_3_5;
io_exception_bits_exceptionVec_6	B_SHALLOW_REGNEXT	r_3_6;
io_exception_bits_exceptionVec_7	B_SHALLOW_REGNEXT	r_3_7;
io_exception_bits_exceptionVec_8	B_SHALLOW_REGNEXT	r_3_8;
io_exception_bits_exceptionVec_9	B_SHALLOW_REGNEXT	r_3_9;
io_exception_bits_gpaddr	C_DEEP	{8'h0, io_readGPAMemData_gpaddr};
io_exception_bits_isFetchMalAddr	B_SHALLOW_REGNEXT	io_exception_bits_isFetchMalAddr_r;
io_exception_bits_isForVSnonLeafPTE	C_DEEP	io_readGPAMemData_isForVSnonLeafPTE;
io_exception_bits_isHls	B_SHALLOW_REGNEXT	io_exception_bits_isHls_r;
io_exception_bits_isInterrupt	B_SHALLOW_REGNEXT	io_exception_bits_isInterrupt_r;
io_exception_bits_isPcBkpt	B_SHALLOW_REGNEXT	io_exception_bits_isPcBkpt_r;
io_exception_bits_singleStep	B_SHALLOW_REGNEXT	io_exception_bits_singleStep_r;
io_exception_bits_trigger	B_SHALLOW_REGNEXT	io_exception_bits_trigger_r;
io_exception_valid	A_CORE	io_exception_valid_REG;
io_flushOut_bits_ftqIdx_flag	A_CORE	rawInfo_0_ftqIdx_flag;
io_flushOut_bits_ftqIdx_value	A_CORE	rawInfo_0_ftqIdx_value;
io_flushOut_bits_ftqOffset	A_CORE	rawInfo_0_ftqOffset;
io_flushOut_bits_isRVC	A_CORE	_GEN_9[_deqPtrGenModule_io_out_0_value[2:0]];
io_flushOut_bits_level	A_CORE	io_flushOut_bits_level_0;
io_flushOut_bits_robIdx_flag	A_CORE	_deqPtrGenModule_io_out_0_flag;
io_flushOut_bits_robIdx_value	A_CORE	_deqPtrGenModule_io_out_0_value;
io_flushOut_valid	A_CORE	io_flushOut_valid_0;
io_headNotReady	A_CORE	(no direct assign — see always/wire)
io_lsq_pendingMMIOld	C_DEEP	io_lsq_pendingMMIOld_REG;
io_lsq_pendingPtr_flag	C_DEEP	io_lsq_pendingPtr_REG_flag;
io_lsq_pendingPtr_value	C_DEEP	io_lsq_pendingPtr_REG_value;
io_lsq_pendingst	C_DEEP	io_lsq_pendingst_REG;
io_lsq_scommit	C_DEEP	io_lsq_scommit_REG;
io_perf_0_value	C_DEEP	{5'h0, io_perf_0_value_REG_1};
io_perf_10_value	C_DEEP	{2'h0, io_perf_10_value_REG_1};
io_perf_11_value	C_DEEP	{5'h0, io_perf_11_value_REG_1};
io_perf_12_value	C_DEEP	{5'h0, io_perf_12_value_REG_1};
io_perf_13_value	C_DEEP	{5'h0, io_perf_13_value_REG_1};
io_perf_14_value	C_DEEP	{5'h0, io_perf_14_value_REG_1};
io_perf_15_value	C_DEEP	{5'h0, io_perf_15_value_REG_1};
io_perf_16_value	C_DEEP	{3'h0, io_perf_16_value_REG_1};
io_perf_17_value	C_DEEP	{5'h0, io_perf_17_value_REG_1};
io_perf_1_value	C_DEEP	{5'h0, io_perf_1_value_REG_1};
io_perf_2_value	C_DEEP	{5'h0, io_perf_2_value_REG_1};
io_perf_3_value	C_DEEP	{5'h0, io_perf_3_value_REG_1};
io_perf_4_value	C_DEEP	{2'h0, io_perf_4_value_REG_1};
io_perf_5_value	C_DEEP	io_perf_5_value_REG_1[5:0];
io_perf_6_value	C_DEEP	{2'h0, io_perf_6_value_REG_1};
io_perf_7_value	C_DEEP	{2'h0, io_perf_7_value_REG_1};
io_perf_8_value	C_DEEP	{2'h0, io_perf_8_value_REG_1};
io_perf_9_value	C_DEEP	{2'h0, io_perf_9_value_REG_1};
io_rabCommits_commitValid_0	B_SHALLOW_REGNEXT	io_rabCommits_REG_commitValid_0;
io_rabCommits_commitValid_1	B_SHALLOW_REGNEXT	io_rabCommits_REG_commitValid_1;
io_rabCommits_commitValid_2	B_SHALLOW_REGNEXT	io_rabCommits_REG_commitValid_2;
io_rabCommits_commitValid_3	B_SHALLOW_REGNEXT	io_rabCommits_REG_commitValid_3;
io_rabCommits_commitValid_4	B_SHALLOW_REGNEXT	io_rabCommits_REG_commitValid_4;
io_rabCommits_commitValid_5	B_SHALLOW_REGNEXT	io_rabCommits_REG_commitValid_5;
io_rabCommits_info_0_fpWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_0_fpWen;
io_rabCommits_info_0_isMove	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_0_isMove;
io_rabCommits_info_0_ldest	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_0_ldest;
io_rabCommits_info_0_pdest	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_0_pdest;
io_rabCommits_info_0_rfWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_0_rfWen;
io_rabCommits_info_0_v0Wen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_0_v0Wen;
io_rabCommits_info_0_vecWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_0_vecWen;
io_rabCommits_info_0_vlWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_0_vlWen;
io_rabCommits_info_1_fpWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_1_fpWen;
io_rabCommits_info_1_isMove	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_1_isMove;
io_rabCommits_info_1_ldest	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_1_ldest;
io_rabCommits_info_1_pdest	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_1_pdest;
io_rabCommits_info_1_rfWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_1_rfWen;
io_rabCommits_info_1_v0Wen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_1_v0Wen;
io_rabCommits_info_1_vecWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_1_vecWen;
io_rabCommits_info_1_vlWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_1_vlWen;
io_rabCommits_info_2_fpWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_2_fpWen;
io_rabCommits_info_2_isMove	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_2_isMove;
io_rabCommits_info_2_ldest	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_2_ldest;
io_rabCommits_info_2_pdest	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_2_pdest;
io_rabCommits_info_2_rfWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_2_rfWen;
io_rabCommits_info_2_v0Wen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_2_v0Wen;
io_rabCommits_info_2_vecWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_2_vecWen;
io_rabCommits_info_2_vlWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_2_vlWen;
io_rabCommits_info_3_fpWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_3_fpWen;
io_rabCommits_info_3_isMove	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_3_isMove;
io_rabCommits_info_3_ldest	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_3_ldest;
io_rabCommits_info_3_pdest	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_3_pdest;
io_rabCommits_info_3_rfWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_3_rfWen;
io_rabCommits_info_3_v0Wen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_3_v0Wen;
io_rabCommits_info_3_vecWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_3_vecWen;
io_rabCommits_info_3_vlWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_3_vlWen;
io_rabCommits_info_4_fpWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_4_fpWen;
io_rabCommits_info_4_isMove	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_4_isMove;
io_rabCommits_info_4_ldest	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_4_ldest;
io_rabCommits_info_4_pdest	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_4_pdest;
io_rabCommits_info_4_rfWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_4_rfWen;
io_rabCommits_info_4_v0Wen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_4_v0Wen;
io_rabCommits_info_4_vecWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_4_vecWen;
io_rabCommits_info_4_vlWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_4_vlWen;
io_rabCommits_info_5_fpWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_5_fpWen;
io_rabCommits_info_5_isMove	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_5_isMove;
io_rabCommits_info_5_ldest	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_5_ldest;
io_rabCommits_info_5_pdest	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_5_pdest;
io_rabCommits_info_5_rfWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_5_rfWen;
io_rabCommits_info_5_v0Wen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_5_v0Wen;
io_rabCommits_info_5_vecWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_5_vecWen;
io_rabCommits_info_5_vlWen	B_SHALLOW_REGNEXT	io_rabCommits_REG_info_5_vlWen;
io_rabCommits_isCommit	A_CORE	io_rabCommits_REG_isCommit;
io_rabCommits_isWalk	A_CORE	io_rabCommits_REG_isWalk;
io_rabCommits_walkValid_0	B_SHALLOW_REGNEXT	io_rabCommits_REG_walkValid_0;
io_rabCommits_walkValid_1	B_SHALLOW_REGNEXT	io_rabCommits_REG_walkValid_1;
io_rabCommits_walkValid_2	B_SHALLOW_REGNEXT	io_rabCommits_REG_walkValid_2;
io_rabCommits_walkValid_3	B_SHALLOW_REGNEXT	io_rabCommits_REG_walkValid_3;
io_rabCommits_walkValid_4	B_SHALLOW_REGNEXT	io_rabCommits_REG_walkValid_4;
io_rabCommits_walkValid_5	B_SHALLOW_REGNEXT	io_rabCommits_REG_walkValid_5;
io_readGPAMemAddr_valid	A_CORE	exceptionHappen;
io_robDeqPtr_flag	A_CORE	_deqPtrGenModule_io_out_0_flag;
io_robDeqPtr_value	A_CORE	_deqPtrGenModule_io_out_0_value;
io_toDecode_isResumeVType	C_DEEP	(no direct assign — see always/wire)
io_toVecExcpMod_excpInfo_bits_isIndexed	C_DEEP	vecExcpInfo_bits_isIndexed;
io_toVecExcpMod_excpInfo_bits_isStride	C_DEEP	vecExcpInfo_bits_isStride;
io_toVecExcpMod_excpInfo_bits_isVlm	C_DEEP	vecExcpInfo_bits_isVlm;
io_toVecExcpMod_excpInfo_bits_isWhole	C_DEEP	vecExcpInfo_bits_isWhole;
io_toVecExcpMod_excpInfo_bits_nf	C_DEEP	vecExcpInfo_bits_nf;
io_toVecExcpMod_excpInfo_bits_veew	C_DEEP	vecExcpInfo_bits_veew;
io_toVecExcpMod_excpInfo_bits_vlmul	C_DEEP	vecExcpInfo_bits_vlmul;
io_toVecExcpMod_excpInfo_bits_vsew	C_DEEP	vecExcpInfo_bits_vsew;
io_toVecExcpMod_excpInfo_bits_vstart	C_DEEP	vecExcpInfo_bits_vstart;
io_toVecExcpMod_excpInfo_valid	C_DEEP	vecExcpInfo_valid;
io_trace_traceCommitInfo_blocks_0_bits_ftqIdx_value	C_DEEP	rawInfo_0_ftqIdx_value;
io_trace_traceCommitInfo_blocks_0_bits_ftqOffset	C_DEEP	rawInfo_0_ftqOffset;
io_trace_traceCommitInfo_blocks_0_bits_tracePipe_ilastsize	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_0_bits_tracePipe_iretire	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_0_bits_tracePipe_itype	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_0_valid	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_1_bits_ftqIdx_value	C_DEEP	rawInfo_1_ftqIdx_value;
io_trace_traceCommitInfo_blocks_1_bits_ftqOffset	C_DEEP	rawInfo_1_ftqOffset;
io_trace_traceCommitInfo_blocks_1_bits_tracePipe_ilastsize	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_1_bits_tracePipe_iretire	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_1_bits_tracePipe_itype	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_1_valid	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_2_bits_ftqIdx_value	C_DEEP	rawInfo_2_ftqIdx_value;
io_trace_traceCommitInfo_blocks_2_bits_ftqOffset	C_DEEP	rawInfo_2_ftqOffset;
io_trace_traceCommitInfo_blocks_2_bits_tracePipe_ilastsize	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_2_bits_tracePipe_iretire	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_2_bits_tracePipe_itype	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_2_valid	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_3_bits_ftqIdx_value	C_DEEP	rawInfo_3_ftqIdx_value;
io_trace_traceCommitInfo_blocks_3_bits_ftqOffset	C_DEEP	rawInfo_3_ftqOffset;
io_trace_traceCommitInfo_blocks_3_bits_tracePipe_ilastsize	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_3_bits_tracePipe_iretire	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_3_bits_tracePipe_itype	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_3_valid	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_4_bits_ftqIdx_value	C_DEEP	rawInfo_4_ftqIdx_value;
io_trace_traceCommitInfo_blocks_4_bits_ftqOffset	C_DEEP	rawInfo_4_ftqOffset;
io_trace_traceCommitInfo_blocks_4_bits_tracePipe_ilastsize	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_4_bits_tracePipe_iretire	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_4_bits_tracePipe_itype	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_4_valid	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_5_bits_ftqIdx_value	C_DEEP	rawInfo_5_ftqIdx_value;
io_trace_traceCommitInfo_blocks_5_bits_ftqOffset	C_DEEP	rawInfo_5_ftqOffset;
io_trace_traceCommitInfo_blocks_5_bits_tracePipe_ilastsize	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_5_bits_tracePipe_iretire	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_5_bits_tracePipe_itype	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_5_valid	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_6_bits_ftqIdx_value	C_DEEP	rawInfo_6_ftqIdx_value;
io_trace_traceCommitInfo_blocks_6_bits_ftqOffset	C_DEEP	rawInfo_6_ftqOffset;
io_trace_traceCommitInfo_blocks_6_bits_tracePipe_ilastsize	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_6_bits_tracePipe_iretire	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_6_bits_tracePipe_itype	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_6_valid	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_7_bits_ftqIdx_value	C_DEEP	rawInfo_7_ftqIdx_value;
io_trace_traceCommitInfo_blocks_7_bits_ftqOffset	C_DEEP	rawInfo_7_ftqOffset;
io_trace_traceCommitInfo_blocks_7_bits_tracePipe_ilastsize	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_7_bits_tracePipe_iretire	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_7_bits_tracePipe_itype	C_DEEP	(no direct assign — see always/wire)
io_trace_traceCommitInfo_blocks_7_valid	C_DEEP	(no direct assign — see always/wire)
io_wfi_wfiReq	A_CORE	hasWFI;
